SCIENTIFIC_NAME,COMMON_NAME,TAXON_ID,SPECIES_CODE,CATEGORY,TAXON_ORDER,COM_NAME_CODES,SCI_NAME_CODES,BANDING_CODES
Turdus pelios,African Thrush,TC009461,afrthr1,species,24635.37,AFTH,TUPE,
Turdus tephronotus,African Bare-eyed Thrush,TC009462,abethr1,species,24676.0,BETH ABET,TUTE,
Turdus hortulorum,Gray-backed Thrush,TC009463,gybthr1,species,24677.0,GBTH,TUHO,
Turdus unicolor,Tickell's Thrush,TC009464,ticthr1,species,24678.0,TITH,TUUN,
Turdus dissimilis,Black-breasted Thrush,TC009465,blbthr2,species,24679.0,BBTH,TUDI,
Turdus cardis,Japanese Thrush,TC009466,japthr1,species,24680.0,JATH,TUCA,
Turdus albocinctus,White-collared Blackbird,TC009467,whcbla1,species,24681.0,WCBL,TUAL,
Turdus torquatus,Ring Ouzel,TC009468,rinouz1,species,24682.0,RIOU,TUTO,
Turdus boulboul,Gray-winged Blackbird,TC009472,gywbla1,species,24686.0,GWBL,TUBO,
Turdus merula,Eurasian Blackbird,TC009473,eurbla,species,24687.0,BLAC COBL,TUME,EUBL
Turdus mandarinus,Chinese Blackbird,TC015040,chibla1,species,24687.2,CHBL,TUMA,
Turdus maximus,Tibetan Blackbird,TC012839,tibbla1,species,24698.5,TIBL,TUMA,
Turdus simillimus,Indian Blackbird,TC009475,eurbla2,species,24699.0,INBL,TUSI,
Turdus poliocephalus,Island Thrush,TC009476,islthr1,species,24705.0,ISTH,TUPO,
Turdus rubrocanus,Chestnut Thrush,TC009477,chethr1,species,24757.0,CHTH,TURU,
Turdus kessleri,White-backed Thrush,TC009478,whbthr2,species,24760.0,WBTH KETH,TUKE,
Turdus feae,Gray-sided Thrush,TC009479,gysthr1,species,24761.0,GSTH,TUFE,
Turdus obscurus,Eyebrowed Thrush,TC009480,eyethr,species,24762.0,,TUOB,EYTH
Turdus pallidus,Pale Thrush,TC009481,palthr1,species,24763.0,PATH,TUPA,
Turdus chrysolaus,Brown-headed Thrush,TC009482,brhthr1,species,24764.0,BHTH,TUCH,
Turdus celaenops,Izu Thrush,TC009483,izuthr1,species,24767.0,IZTH,TUCE,
Turdus atrogularis,Black-throated Thrush,TC009484,datthr1,species,24768.0,BTTH,TUAT,
Turdus ruficollis,Red-throated Thrush,TC009486,retthr1,species,24769.0,RTTH,TURU,
Turdus eunomus,Dusky Thrush,TC009487,dusthr2,species,24770.0,DUTH,TUEU,
Turdus naumanni,Naumann's Thrush,TC009488,dusthr1,species,24771.0,,TUNA,NATH
Turdus pilaris,Fieldfare,TC009490,fieldf,species,24773.0,,TUPI,FIEL
Turdus iliacus,Redwing,TC009491,redwin,species,24774.0,,TUIL,REDW
